Item Number,Item Name,Item Description,Brief Description,Attribute,Size,Regular Price,MSRP,UPC,Department Name,Vendor Name,Qty 1,Custom Field 1,,,,,,,
22254,AL CERVIK ADULT,AL CERVIK ADULT,,MEN,STD,59.9925,79.99,0791249468101,COSTUMES,RASTA IMPOSTA,0,4681,,,,,,,
20529,BAD BIKER ADULT,BAD BIKER ADULT,,MEN,STD,29.9925,39.99,0721773620904,COSTUMES,FORUM NOVELTIES INC,0,62090,,,,,,,
23855,BAGEL & LOX ADULT,BAGEL & LOX ADULT,,MEN,STD,35.9925,47.99,0071765059169,COSTUMES,FUN WORLD,0,130974,,,,,,,
22328,BAMAX ADULT STD,BAMAX ADULT STD,,MEN,LG,52.49,69.99,0039897918211,COSTUMES,DISGUISE INC.,1,91821,,,,,,,
20742,BANANA ADULT,BANANA ADULT,,MEN,STD,26.2425,34.99,0791249003012,COSTUMES,RASTA IMPOSTA,0,301,,,,,,,
22187,BARREL OF MONKEYS ADULT,BARREL OF MONKEYS ADULT,,MEN,STD,56.2425,74.99,0721773608384,COSTUMES,FORUM NOVELTIES INC,0,60838,,,,,,,
20544,BARTENDER ADULT,BARTENDER ADULT,,MEN,STD,29.9925,39.99,0721773640834,COSTUMES,FORUM NOVELTIES INC,4,64083,,,,,,,
19947,BATMAN DLX LG,BATMAN DLX LG,,MEN,LARGE,44.9925,59.99,0883028067176,COSTUMES,RUBIE'S COSTUME CO.,0,880671,,,,,,,
19946,BATMAN DLX MED,BATMAN DLX MED,,MEN,MEDIUM,44.9925,59.99,0883028067169,COSTUMES,RUBIE'S COSTUME CO.,0,880671,,,,,,,
19948,BATMAN DLX XL,BATMAN DLX XL,,MEN,XL,44.9925,59.99,0883028067183,COSTUMES,RUBIE'S COSTUME CO.,0,880671,,,,,,,
22255,BEER BOTTLE ADULT,BEER BOTTLE ADULT,,MEN,STD,26.2425,34.99,0791249003029,COSTUMES,RASTA IMPOSTA,0,302,,,,,,,
22238,BEER KEG,BEER KEG,,MEN,STD,37.4925,49.99,0023168054463,COSTUMES,FUN WORLD,0,5446,,,,,,,
20764,BEER MUG ADULT,BEER MUG ADULT,,MEN,STD,24.7425,32.99,0791249680206,COSTUMES,RASTA IMPOSTA,0,6802,,,,,,,
23854,BIG BABY STD ADULT,BIG BABY STD ADULT,,MEN,STD,37.4925,49.99,0071765053983,COSTUMES,FUN WORLD,0,131734,,,,,,,
18920,BLACK DRAGON NINJA ADULT,BLACK DRAGON NINJA ADULT,,MEN,BLACK DRAGON,26.2425,34.99,0809801722261,COSTUMES,AMSCAN,2,842875,,,,,,,
26436,Black Horror Robe,Black Horror Robe,,MEN,STD,17.2425,22.99,0809801711036,COSTUMES,AMSCAN,0,840739,,,,,,,
26437,Black Terror Robe - Adult,Black Terror Robe - Adult,,MEN,STD,18.7425,24.99,0809801703802,COSTUMES,AMSCAN,3,840303,,,,,,,
20615,BLACK TUNIC STD ADULT,BLACK TUNIC STD ADULT,,MEN,STD,14.9925,19.99,0721773667039,COSTUMES,FORUM NOVELTIES INC,4,66703,,,,,,,
18896,BLUE JAMMIES ADULT,BLUE JAMMIES ADULT,,MEN,BLUE JAMMIES,20.9925,27.99,0809801710442,COSTUMES,AMSCAN,0,840624,,,,,,,
20640,BONE SUIT STD ADULT,BONE SUIT STD ADULT,,MEN,STD,29.9925,39.99,0721773689536,COSTUMES,FORUM NOVELTIES INC,1,68953,,,,,,,
20641,BONE SUIT XL ADULT,BONE SUIT XL ADULT,,MEN,XL,29.9925,39.99,0721773689543,COSTUMES,FORUM NOVELTIES INC,0,68954,,,,,,,
20767,BREATHALYER ADULT,BREATHALYER ADULT,,MEN,STD,33.7425,44.99,0791249698409,COSTUMES,RASTA IMPOSTA,0,6984,,,,,,,
22218,BRIAN XL ADULT,BRIAN XL ADULT,,MEN,XL,44.9925,59.99,0039897118451,COSTUMES,DISGUISE INC.,0,24.02,,,,,,,
22257,BULLSEYE DARTBOARD ADULT,BULLSEYE DARTBOARD ADULT,,MEN,STD,44.9925,59.99,0791249364106,COSTUMES,RASTA IMPOSTA,0,3641,,,,,,,
18694,BURGUNDY TUNIC,BURGUNDY TUNIC,,MEN,TUNIC,14.9925,19.99,0809801718714,COSTUMES,AMSCAN,3,841781,,,,,,,
18015,BUT MOMMY...GROW UP XL (42-46),BUT MOMMY...GROW UP XL (42-46),,MEN,XL 42-46,44.9925,59.99,0032692130017,COSTUMES,DISGUISE INC.,0,3001-DISG-I,,,,,,,
20757,CADDYSHACK CARL SPACKLER ADULT,CADDYSHACK CARL SPACKLER ADULT,,MEN,STD,33.7425,44.99,0791249468309,COSTUMES,RASTA IMPOSTA,0,4683,,,,,,,
22219,CAPT AMERICA XL ADULT,CAPT AMERICA XL ADULT,,MEN,XL,67.4925,89.99,0039897436883,COSTUMES,DISGUISE INC.,0,43668D,,,,,,,
22221,CAPT AMERICA XXL ADULT,CAPT AMERICA XXL ADULT,,MEN,XXL,67.4925,89.99,0039897436890,COSTUMES,DISGUISE INC.,0,43688C,,,,,,,
22402,CAPTAIN AMERICA STD,CAPTAIN AMERICA STD,,MEN,XL,47.24,62.99,0883028045495,COSTUMES,RUBIE'S COSTUME CO.,2,810287,,,,,,,
22401,CAPTAIN AMERICA XL,CAPTAIN AMERICA XL,,MEN,XL,47.24,62.99,0883028045501,COSTUMES,RUBIE'S COSTUME CO.,1,810287,,,,,,,
22239,CAPTAIN BLACKHEART  ADULT,CAPTAIN BLACKHEART  ADULT,,MEN,STD,37.4925,49.99,0023168054074,COSTUMES,FUN WORLD,0,5407,,,,,,,
20494,CAPTAIN CONDOM ADULT,CAPTAIN CONDOM ADULT,,MEN,STD,29.9925,39.99,0721773509704,COSTUMES,FORUM NOVELTIES INC,6,50970,,,,,,,
19568,CASSANOVA ADULT,CASSANOVA ADULT,,MEN,STD,29.9925,39.99,0023168014450,COSTUMES,FUN WORLD,6,1445,,,,,,,
