Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
wednesday,Girls Wednesday Costume,,Rubie's Costume Co.,Costumes,"wednesday, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,18.74,24.99,True,,883028000000,,,,,,,,,,,,,,,,,,,,,,
rascal-raccoon,Girls Rascal Raccoon Costume,,Leg Avenue Inc.,Costumes,"rascal, raccoon, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,28.49,37.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
cowgirl,Girls Cowgirl Costume,,Fun World,Costumes,"cowgirl, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,20.99,27.99,True,,788677000000,,,,,,,,,,,,,,,,,,,,,,
rascal-raccoon,,,,,,,,Small,,,,,,,shopify,0,deny,manual,28.49,37.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
witch,Girls Witch Costume,,Rubie's Costume Co.,Costumes,"witch, sm, costumes, ",,Size,Small,,,,,,,shopify,2,deny,manual,11.99,15.99,True,,883028000000,,,,,,,,,,,,,,,,,,,,,,
cowgirl,,,,,,,,Large,,,,,,,shopify,0,deny,manual,20.99,27.99,True,,788677000000,,,,,,,,,,,,,,,,,,,,,,
rockstar-'s,Girls Rockstar 's Costume,,Leg Avenue Inc.,Costumes,"rockstar, 80's, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
monster-bride,Girls Monster Bride Costume,,Fun World,Costumes,"monster, bride, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765035187,,,,,,,,,,,,,,,,,,,,,,
cowgirl,,,,,,,,Small,,,,,,,shopify,0,deny,manual,20.99,27.99,True,,788677000000,,,,,,,,,,,,,,,,,,,,,,
rockstar-'s,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
monster-bride,,,,,,,,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765035194,,,,,,,,,,,,,,,,,,,,,,
scary-skeleton,Girls Scary Skeleton Costume,,Leg Avenue Inc.,Costumes,"scary, skeleton, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
scary-skeleton,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
dragon-ninja,Girls Dragon Ninja Costume,,Fun World,Costumes,"dragon, ninja, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,20.99,27.99,True,,71765039772,,,,,,,,,,,,,,,,,,,,,,
lovely-ladybug,Girls Lovely Ladybug Costume,,Fun World,Costumes,"lovely, ladybug, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765004169,,,,,,,,,,,,,,,,,,,,,,
tinkerbell,Girls Tinkerbell  Costume,,Disguise Inc.,Costumes,"tinkerbell, 10-12, costumes, ",,,Oct,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,39897591186,,,,,,,,,,,,,,,,,,,,,,
igloo-cutie,Girls Igloo Cutie Costume,,Leg Avenue Inc.,Costumes,"igloo, cutie, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,37.49,49.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
scary-skeleton,,,,,,,,Small,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
feelin-groovy,Girls Feelin Groovy Costume,,Fun World,Costumes,"feelin, groovy, med, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,71765011297,,,,,,,,,,,,,,,,,,,,,,
tinkerbell,,,,,,,,Apr,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,32692596561,,,,,,,,,,,,,,,,,,,,,,
igloo-cutie,,,,,,,,Small,,,,,,,shopify,0,deny,manual,37.49,49.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
lil'-riding,Girls Lil' Riding Costume,,Amscan,Costumes,"lil', red, riding, lg, costumes, ",,Size,Large,Color,RED,,,,,shopify,1,deny,manual,26.24,34.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
feelin-groovy,,,,,,,,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,71765011280,,,,,,,,,,,,,,,,,,,,,,
tinkerbell,,,,,,,,Apr,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,39897591018,,,,,,,,,,,,,,,,,,,,,,
kandy-korn-witch,Girls Kandy Korn Witch Costume,,Leg Avenue Inc.,Costumes,"kandy, korn, witch, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,714718000000,,,,,,,,,,,,,,,,,,,,,,
lil'-riding,,,,,,,,Small,,RED,,,,,shopify,2,deny,manual,26.24,34.99,True,,809802000000,,,,,,,,,,,,,,,,,,,,,,
