item-description,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,shopify,Variant Inventory Qty,deny,manual,Variant Price,Variant Compare At Price,True,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
rascal-pirate-tt,Baby Rascal Pirate TT Costume,,Amscan,Costumes,"costumes, rascal, pirate, 3t-4t, ",,,Rascal T,,,,,,,shopify,,deny,manual,11.2425,14.99,True,,809801731492,,,,,,,,,,,,,,,,,,,,,,
funny-bones-tt,Baby Funny Bones TT Costume,,Amscan,Costumes,"costumes, funny, bones, 3t-4t, ",,,Funny Bones,,,,,,,shopify,,deny,manual,17.2425,22.99,True,,809801702959,,,,,,,,,,,,,,,,,,,,,,
scooby-doo-toddler,Baby Scooby Doo Toddler Costume,,Rubie's Costume Co.,Costumes,"costumes, scooby, doo, toddler, ",,,Toddler,,,,,,,shopify,,deny,manual,14.9925,19.99,True,,400000271095,,,,,,,,,,,,,,,,,,,,,,
rascal-pirate-tt,,,,,,,,Rascal T,,,,,,,shopify,,deny,manual,11.2425,14.99,True,,809801735162,,,,,,,,,,,,,,,,,,,,,,
police-officer-tt,Baby Police Officer TT Costume,,Amscan,Costumes,"costumes, police, officer, 3t-4t, ",,,Police T,,,,,,,shopify,,deny,manual,22.4925,29.99,True,,809801707770,,,,,,,,,,,,,,,,,,,,,,
fairy-tale-witch-x,Baby Fairy Tale Witch X Costume,,Disguise Inc.,Costumes,"costumes, fairy, tale, witch, 4-6x, ",,,X,,,,,,,shopify,,deny,manual,27.7425,36.99,True,,32692321668,,,,,,,,,,,,,,,,,,,,,,
fairy-tale-witch-tt,,,,,,,,TT,,,,,,,shopify,,deny,manual,27.7425,36.99,True,,32692321651,,,,,,,,,,,,,,,,,,,,,,
snow-white-sparkle-xs,Baby Snow White Sparkle Xs  Costume,,Disguise Inc.,Costumes,"costumes, snow, white, sparkle, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,19.99,32.99,True,,39897591605,,,,,,,,,,,,,,,,,,,,,,
spider-man--muscle,Baby Spider-Man  Muscle  Costume,,Disguise Inc.,Costumes,"costumes, spider-man, 2, muscle, sm, (2t), ",,Size,2T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897730110,,,,,,,,,,,,,,,,,,,,,,
sulley-classic,Baby Sulley Classic  Costume,,Disguise Inc.,Costumes,"costumes, sulley, classic, lg, (4t-6t), ",,Size,4T-6T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,39897587677,,,,,,,,,,,,,,,,,,,,,,
super-why,Baby Super Why  Costume,,Disguise Inc.,Costumes,"costumes, super, why, lg, (4-6), ",,Size,4-6,,,,,,,shopify,,deny,manual,20.9925,27.99,True,,32692720560,,,,,,,,,,,,,,,,,,,,,,
jake,Baby Jake  Costume,,Disguise Inc.,Costumes,"costumes, jake, dlx, med, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,39897417554,,,,,,,,,,,,,,,,,,,,,,
mickey-mouse-xs,Baby Mickey Mouse Xs  Costume,,Disguise Inc.,Costumes,"costumes, mickey, mouse, dlx, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,29.9925,39.99,True,,32692502753,,,,,,,,,,,,,,,,,,,,,,
abby-cadabby,Baby Abby Cadabby  Costume,,Disguise Inc.,Costumes,"costumes, abby, cadabby, med, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,24.7425,32.99,True,,32692691457,,,,,,,,,,,,,,,,,,,,,,
anna-deluxe-xs,Baby Anna Deluxe Xs  Costume,,Disguise Inc.,Costumes,"costumes, anna, deluxe, xs, (3t-4t), ",,Size,3T-4T,,,,,,,shopify,,deny,manual,32.2425,42.99,True,,39897570051,,,,,,,,,,,,,,,,,,,,,,
