Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
al-cervik-adult,Man's Al Cervik Adult Costume,,Rasta Imposta,Costumes,"al, cervik, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,59.9925,79.99,True,,791249468101,,,,,,,,,,,,,,,,,,,,,,
bad-biker-adult,Man's Bad Biker Adult Costume,,Forum Novelties Inc,Costumes,"bad, biker, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,721773620904,,,,,,,,,,,,,,,,,,,,,,
bagel-&-lox-adult,Man's Bagel & Lox Adult Costume,,Fun World,Costumes,"bagel, &, lox, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,35.9925,47.99,True,,71765059169,,,,,,,,,,,,,,,,,,,,,,
bamax-adult-std,Man's Bamax Adult Std Costume,,Disguise Inc.,Costumes,"bamax, adult, std, costumes, ",,Size,Medium,,,,,,,shopify,1,deny,manual,52.49,69.99,True,,39897918211,,,,,,,,,,,,,,,,,,,,,,
banana-adult,Man's Banana Adult Costume,,Rasta Imposta,Costumes,"banana, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,26.2425,34.99,True,,791249003012,,,,,,,,,,,,,,,,,,,,,,
barrel-of-monkeys-adult,Man's Barrel Of Monkeys Adult Costume,,Forum Novelties Inc,Costumes,"barrel, of, monkeys, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,56.2425,74.99,True,,721773608384,,,,,,,,,,,,,,,,,,,,,,
bartender-adult,Man's Bartender Adult Costume,,Forum Novelties Inc,Costumes,"bartender, adult, costumes, ",,,Std,,,,,,,shopify,4,deny,manual,29.9925,39.99,True,,721773640834,,,,,,,,,,,,,,,,,,,,,,
batman,Man's Batman Costume,,Rubie's Costume Co.,Costumes,"batman, dlx, lg, costumes, ",,Size,Large,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,883028067176,,,,,,,,,,,,,,,,,,,,,,
batman,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,883028067169,,,,,,,,,,,,,,,,,,,,,,
batman,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,883028067183,,,,,,,,,,,,,,,,,,,,,,
beer-bottle-adult,Man's Beer Bottle Adult Costume,,Rasta Imposta,Costumes,"beer, bottle, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,26.2425,34.99,True,,791249003029,,,,,,,,,,,,,,,,,,,,,,
beer-keg,Man's Beer Keg Costume,,Fun World,Costumes,"beer, keg, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,37.4925,49.99,True,,23168054463,,,,,,,,,,,,,,,,,,,,,,
beer-mug-adult,Man's Beer Mug Adult Costume,,Rasta Imposta,Costumes,"beer, mug, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,24.7425,32.99,True,,791249680206,,,,,,,,,,,,,,,,,,,,,,
big-baby-std-adult,Man's Big Baby Std Adult Costume,,Fun World,Costumes,"big, baby, std, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,37.4925,49.99,True,,71765053983,,,,,,,,,,,,,,,,,,,,,,
dragon-ninja-adult,Man's Dragon Ninja Adult Costume,,Amscan,Costumes,"black, dragon, ninja, adult, costumes, ",,,Black Dragon,Color,BLACK,,,,,shopify,2,deny,manual,26.2425,34.99,True,,809801722261,,,,,,,,,,,,,,,,,,,,,,
black-horror-robe,Man's Black Horror Robe Costume,,Amscan,Costumes,"black, horror, robe, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,17.2425,22.99,True,,809801711036,,,,,,,,,,,,,,,,,,,,,,
black-terror-robe---adult,,,,,,,,Std,,,,,,,shopify,3,deny,manual,18.7425,24.99,True,,809801703802,,,,,,,,,,,,,,,,,,,,,,
tunic-std-adult,,,,,,,,Std,,BLACK,,,,,shopify,4,deny,manual,14.9925,19.99,True,,721773667039,,,,,,,,,,,,,,,,,,,,,,
jammies-adult,Man's Jammies Adult Costume,,Amscan,Costumes,"blue, jammies, adult, costumes, ",,Size,Medium,Color,BLUE,,,,,shopify,0,deny,manual,20.9925,27.99,True,,809801710442,,,,,,,,,,,,,,,,,,,,,,
bone-suit-std-adult,Man's Bone Suit Std Adult Costume,,Forum Novelties Inc,Costumes,"bone, suit, std, adult, costumes, ",,,Std,,,,,,,shopify,1,deny,manual,29.9925,39.99,True,,721773689536,,,,,,,,,,,,,,,,,,,,,,
bone-suit-adult,,,,,,,,Extra Large,,,,,,,shopify,0,deny,manual,29.9925,39.99,True,,721773689543,,,,,,,,,,,,,,,,,,,,,,
breathalyer-adult,Man's Breathalyer Adult Costume,,Rasta Imposta,Costumes,"breathalyer, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,33.7425,44.99,True,,791249698409,,,,,,,,,,,,,,,,,,,,,,
brian-adult,Man's Brian Adult Costume,,Disguise Inc.,Costumes,"brian, xl, adult, costumes, ",,Size,Extra Large,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,39897118451,,,,,,,,,,,,,,,,,,,,,,
bullseye-dartboard-adult,Man's Bullseye Dartboard Adult Costume,,Rasta Imposta,Costumes,"bullseye, dartboard, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,791249364106,,,,,,,,,,,,,,,,,,,,,,
burgundy-tunic,Man's Burgundy Tunic Costume,,Amscan,Costumes,"burgundy, tunic, costumes, ",,,Tunic,,,,,,,shopify,3,deny,manual,14.9925,19.99,True,,809801718714,,,,,,,,,,,,,,,,,,,,,,
but-mommy...grow-up,Man's But Mommy...Grow Up  Costume,,Disguise Inc.,Costumes,"but, mommy...grow, up, xl, (42-46), costumes, ",,Size,42-46,,,,,,,shopify,0,deny,manual,44.9925,59.99,True,,32692130017,,,,,,,,,,,,,,,,,,,,,,
caddyshack-carl-spackler-adult,Man's Caddyshack Carl Spackler Adult Costume,,Rasta Imposta,Costumes,"caddyshack, carl, spackler, adult, costumes, ",,,Std,,,,,,,shopify,0,deny,manual,33.7425,44.99,True,,791249468309,,,,,,,,,,,,,,,,,,,,,,
capt-america-adult,Man's Capt America Adult Costume,,Disguise Inc.,Costumes,"capt, america, xl, adult, costumes, ",,Size,Medium,,,,,,,shopify,0,deny,manual,67.4925,89.99,True,,39897436883,,,,,,,,,,,,,,,,,,,,,,
capt-america-xxl-adult,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,67.4925,89.99,True,,39897436890,,,,,,,,,,,,,,,,,,,,,,
captain-america-std,Man's Captain America Std Costume,,Rubie's Costume Co.,Costumes,"captain, america, std, costumes, ",,Size,Medium,,,,,,,shopify,2,deny,manual,47.24,62.99,True,,883028045495,,,,,,,,,,,,,,,,,,,,,,
captain-america,,,,,,,,Medium,,,,,,,shopify,1,deny,manual,47.24,62.99,True,,883028045501,,,,,,,,,,,,,,,,,,,,,,
captain-blackheart-adult,,,,,,,,Std,,BLACK,,,,,shopify,0,deny,manual,37.4925,49.99,True,,23168054074,,,,,,,,,,,,,,,,,,,,,,
captain-condom-adult,,,,,,,,Medium,,,,,,,shopify,6,deny,manual,29.9925,39.99,True,,721773509704,,,,,,,,,,,,,,,,,,,,,,
