Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
complete-zombie,Boys Complete Zombie Costume,,Fun World,Costumes,"costumes, complete, zombie, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,23168087898,,,,,,,,,,,,,,,,,,,,,,
complete-zombie,,,,,,,,Medium,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,23168187895,,,,,,,,,,,,,,,,,,,,,,
complete-zombie,,,,,,,,Large,,,,,,,shopify,1,deny,manual,29.99,39.99,True,,23168287892,,,,,,,,,,,,,,,,,,,,,,
alien-complete,Boys Alien Complete Costume,,Fun World,Costumes,"costumes, alien, complete, sm, ",,Size,Small,,,,,,,shopify,2,deny,manual,20.99,27.99,True,,23168087270,,,,,,,,,,,,,,,,,,,,,,
alien-complete,,,,,,,,Large,,,,,,,shopify,1,deny,manual,20.99,27.99,True,,23168247278,,,,,,,,,,,,,,,,,,,,,,
chief-surgeon,Boys Chief Surgeon Costume,,Forum Novelties Inc,Costumes,"costumes, chief, surgeon, sm, ",,Size,Small,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,721773669422,,,,,,,,,,,,,,,,,,,,,,
fireman,Boys Fireman Costume,,Forum Novelties Inc,Costumes,"costumes, fireman, sm, ",,Size,Small,,,,,,,shopify,3,deny,manual,29.99,39.99,True,,721773686306,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,Boys I'm Invisible Costume,,Forum Novelties Inc,Costumes,"costumes, i'm, invisible, green, lg, ",,Size,Large,Color,GREEN,,,,,shopify,0,deny,manual,20.99,27.99,True,,721773688997,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,,,Medium,,BLACK,,,,,shopify,0,deny,manual,20.99,27.99,True,,721773688966,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,,,Medium,,BLUE,,,,,shopify,3,deny,manual,20.99,27.99,True,,721773689000,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,Boys Skeleton Zombie Costume,,Fun World,Costumes,"costumes, skeleton, zombie, lg, ",,Size,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,23168259196,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,,,Large,,BLACK,,,,,shopify,0,deny,manual,20.99,27.99,True,,721773688973,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,,,Large,,BLUE,,,,,shopify,2,deny,manual,20.99,27.99,True,,721773689017,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,,,Medium,,GREEN,,,,,shopify,2,deny,manual,20.99,27.99,True,,721773688980,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,,,Large,,RED,,,,,shopify,0,deny,manual,20.99,27.99,True,,721773689031,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,,,,,,,,Small,,,,,,,shopify,2,deny,manual,29.99,39.99,True,,23168059192,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,23168159199,,,,,,,,,,,,,,,,,,,,,,
complete-alien,,,,,,,,Medium,,BLUE,,,,,shopify,2,deny,manual,20.99,27.99,True,,23168147271,,,,,,,,,,,,,,,,,,,,,,
ghost-face-child,Boys Ghost Face Child Costume,,Fun World,Costumes,"costumes, ghost, face, child, ",,Size,Child,,,,,,,shopify,3,deny,manual,18.74,24.99,True,,23168088741,,,,,,,,,,,,,,,,,,,,,,
funny-bones,Boys Funny Bones  Costume,,Amscan,Costumes,"costumes, funny, bones, sm, 4-6, ",,Size,Small,,,,,,,shopify,0,deny,manual,17.24,22.99,True,,809801702966,,,,,,,,,,,,,,,,,,,,,,
gangster,Boys Gangster Costume,,Rubie's Costume Co.,Costumes,"costumes, gangster, lg, ",,Size,Large,,,,,,,shopify,0,deny,manual,26.24,34.99,True,,82686100021,,,,,,,,,,,,,,,,,,,,,,
doctor-jr.,Boys Doctor Jr.  Costume,,Amscan,Costumes,"costumes, doctor, jr., med, 8-10, ",,Size,Medium,,,,,,,shopify,3,deny,manual,11.24,14.99,True,,809801702737,,,,,,,,,,,,,,,,,,,,,,
greaser,Boys Greaser Costume,,Rubie's Costume Co.,Costumes,"costumes, greaser, lg, ",,Size,Large,,,,,,,shopify,2,deny,manual,20.99,27.99,True,,82686100687,,,,,,,,,,,,,,,,,,,,,,
doctor-jr.,,,,,,,,Large,,,,,,,shopify,6,deny,manual,11.24,14.99,True,,809801702744,,,,,,,,,,,,,,,,,,,,,,
police-officer-child,Boys Police Officer Child  Costume,,Amscan,Costumes,"costumes, police, officer, child, sm, 4-6, ",,Size,Small,,,,,,,shopify,4,deny,manual,22.49,29.99,True,,809801707848,,,,,,,,,,,,,,,,,,,,,,
doctor-child,,,,,,,,Child,,,,,,,shopify,4,deny,manual,22.49,29.99,True,,809801707732,,,,,,,,,,,,,,,,,,,,,,
kid-muscle-shirt,Boys Kid Muscle Shirt Costume,,Amscan,Costumes,"costumes, kid, muscle, shirt, ",,Size,Medium,,,,,,,shopify,4,deny,manual,14.99,19.99,True,,809801705424,,,,,,,,,,,,,,,,,,,,,,
scary-bones,Boys Scary Bones Costume,,Amscan,Costumes,"costumes, scary, bones, med, ",,Size,Medium,,,,,,,shopify,1,deny,manual,22.49,29.99,True,,809801706384,,,,,,,,,,,,,,,,,,,,,,
gorilla,Boys Gorilla Costume,,Rubie's Costume Co.,Costumes,"costumes, gorilla, lg, ",,Size,Large,,,,,,,shopify,0,deny,manual,44.99,59.99,True,,400000598703,,,,,,,,,,,,,,,,,,,,,,
inflatable-clown,Boys Inflatable Clown Costume,,Rubie's Costume Co.,Costumes,"costumes, inflatable, clown, ",,,Std,,,,,,,shopify,2,deny,manual,24.74,32.99,True,,82686389044,,,,,,,,,,,,,,,,,,,,,,
gorilla,,,,,,,,Medium,,,,,,,shopify,0,deny,manual,44.99,59.99,True,,82686140515,,,,,,,,,,,,,,,,,,,,,,
alien,,,,,,,,7-8,,,,,,,shopify,2,deny,manual,18.74,24.99,True,,32692126171,,,,,,,,,,,,,,,,,,,,,,
killer-clown,Boys Killer Clown Costume,,Fun World,Costumes,"costumes, killer, clown, lg, ",,Size,Large,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,71765046596,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja,Boys Dark Raven Ninja  Costume,,Disguise Inc.,Costumes,"costumes, dark, raven, ninja, sm, (4-6), ",,Size,4-6,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,32692053361,,,,,,,,,,,,,,,,,,,,,,
dark-raven-ninja,,,,,,,,7-8,,,,,,,shopify,0,deny,manual,22.49,29.99,True,,32692053378,,,,,,,,,,,,,,,,,,,,,,
viper-ninja,Boys Viper Ninja  Costume,,Disguise Inc.,Costumes,"costumes, red, viper, ninja, med, (7-8), ",,Size,7-8,Color,RED,,,,,shopify,0,deny,manual,29.99,39.99,True,,32692053477,,,,,,,,,,,,,,,,,,,,,,
roc-snake-eye-muscle,Boys Roc Snake Eye Muscle  Costume,,Disguise Inc.,Costumes,"costumes, roc, snake, eye, muscle, sm, (4-6), ",,Size,4-6,,,,,,,shopify,0,deny,manual,29.99,39.99,True,,32692037262,,,,,,,,,,,,,,,,,,,,,,
