Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
alien-complete,Alien Complete,,Fun World,Costumes,"alien, complete, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,20.99,27.99,TRUE,TRUE,23168087270,,,,,,,,,,,,,,,,,,,,,,
alien-complete,,,,,,TRUE,,Lg,,,,,,,,,,,20.99,27.99,TRUE,TRUE,23168247278,,,,,,,,,,,,,,,,,,,,,,
chief-surgeon,Chief Surgeon,,Forum Novelties Inc,Costumes,"chief, surgeon, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,22.49,29.99,TRUE,TRUE,721773669422,,,,,,,,,,,,,,,,,,,,,,
fireman,Fireman,,Forum Novelties Inc,Costumes,"fireman, sm, small, costumes, ",TRUE,Size,Sm,,,,,,,,,,,29.99,39.99,TRUE,TRUE,721773686306,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,I'm Invisible,,Forum Novelties Inc,Costumes,"i'm, invisible, green, lg, large, costumes, ",TRUE,Size,Lg,Color,GREEN,,,,,,,,,20.99,27.99,TRUE,TRUE,721773688997,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Med,,BLACK,,,,,,,,,20.99,27.99,TRUE,TRUE,721773688966,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Med,,BLUE,,,,,,,,,20.99,27.99,TRUE,TRUE,721773689000,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,Skeleton Zombie,,Fun World,Costumes,"skeleton, zombie, lg, large, costumes, ",TRUE,Size,Lg,,,,,,,,,,,29.99,39.99,TRUE,TRUE,23168259196,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Lg,,BLACK,,,,,,,,,20.99,27.99,TRUE,TRUE,721773688973,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Lg,,BLUE,,,,,,,,,20.99,27.99,TRUE,TRUE,721773689017,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Med,,GREEN,,,,,,,,,20.99,27.99,TRUE,TRUE,721773688980,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Lg,,RED,,,,,,,,,20.99,27.99,TRUE,TRUE,721773689031,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,,,,,,TRUE,,Sm,,,,,,,,,,,29.99,39.99,TRUE,TRUE,23168059192,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,,,,,,TRUE,,Med,,,,,,,,,,,29.99,39.99,TRUE,TRUE,23168159199,,,,,,,,,,,,,,,,,,,,,,
complete-alien,Complete Alien,,Fun World,Costumes,"complete, alien, med, blue, medium, costumes, ",TRUE,Size,Med,Color,BLUE,,,,,,,,,20.99,27.99,TRUE,TRUE,23168147271,,,,,,,,,,,,,,,,,,,,,,
ghost-face-child,Ghost Face Child,,Fun World,Costumes,"ghost, face, child, child, costumes, ",TRUE,Size,Child,,,,,,,,,,,18.74,24.99,TRUE,TRUE,23168088741,,,,,,,,,,,,,,,,,,,,,,
funny-bones-,Funny Bones ,,Amscan,Costumes,"funny, bones, sm, 4-6, funny, bones, costumes, ",TRUE,Size,Sm,,,,,,,,,,,17.24,22.99,TRUE,TRUE,809801702966,,,,,,,,,,,,,,,,,,,,,,
gangster,Gangster,,Rubie's Costume Co.,Costumes,"gangster, lg, lg, costumes, ",TRUE,Size,Lg,,,,,,,,,,,26.24,34.99,TRUE,TRUE,82686100021,,,,,,,,,,,,,,,,,,,,,,
doctor-jr.-,Doctor Jr. ,,Amscan,Costumes,"doctor, jr., med, 8-10, dcotor, jr., m, costumes, ",TRUE,Size,Med,,,,,,,,,,,11.24,14.99,TRUE,TRUE,809801702737,,,,,,,,,,,,,,,,,,,,,,
greaser,Greaser,,Rubie's Costume Co.,Costumes,"greaser, lg, lg, costumes, ",TRUE,Size,Lg,,,,,,,,,,,20.99,27.99,TRUE,TRUE,82686100687,,,,,,,,,,,,,,,,,,,,,,
