Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,
alein-complete,test Alein Complete suff,,Fun World,Costumes,"small, costumes, alein, complete, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,23168087270,,,,,,,,,,,,,,,,,,,,,,
alein-complete,,,,,,TRUE,,Large,,,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,23168247278,,,,,,,,,,,,,,,,,,,,,,
chief-surgeon,test Chief Surgeon suff,,Forum Novelties Inc,Costumes,"small, costumes, chief, surgeon, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,22.49,29.99,True,TRUE,721773669422,,,,,,,,,,,,,,,,,,,,,,
fireman,test Fireman suff,,Forum Novelties Inc,Costumes,"small, costumes, fireman, sm, ",TRUE,Size,Small,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,721773686306,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,test I'm Invisible suff,,Forum Novelties Inc,Costumes,"large, costumes, i'm, invisible, green, lg, ",TRUE,Size,Large,Color,GREEN,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,721773688997,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Medium,,BLACK,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,721773688966,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Medium,,BLUE,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,721773689000,,,,,,,,,,,,,,,,,,,,,,
skeleton-zombie,test Skeleton Zombie suff,,Fun World,Costumes,"large, costumes, skeleton, zombie, lg, ",TRUE,Size,Large,,,,,,,shopify,,deny,manual,29.99,39.99,True,TRUE,23168259196,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Large,,BLACK,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,721773688973,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Large,,BLUE,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,721773689017,,,,,,,,,,,,,,,,,,,,,,
i'm-invisible,,,,,,TRUE,,Medium,,GREEN,,,,,shopify,,deny,manual,20.99,27.99,True,TRUE,721773688980,,,,,,,,,,,,,,,,,,,,,,
